movie_id,country_id
tt0094878,116
tt0113200,37
tt0113200,28
tt0113200,151
tt0112585,151
tt0112442,151
tt0112342,151
tt0112461,151
tt0112427,150
tt0109093,151
tt0109093,150
tt0109093,51
tt0112384,151
tt0114287,150
tt0114287,151
tt0112288,151
tt0112462,151
tt0112462,150
tt0061395,51
tt0061395,70
tt0112495,150
tt0112495,151
tt0112541,151
tt0109370,151
tt0109370,28
tt0112642,151
tt0112688,151
tt0112715,151
tt0112740,151
tt0109508,151
tt0112851,151
tt0112851,94
tt0112857,151
tt0112864,151
tt0112887,51
tt0112887,151
tt0113044,150
tt0113044,151
tt0113071,151
tt0113071,150
tt0113114,51
tt0113114,151
tt0113243,151
tt0113464,151
tt0113481,28
tt0113481,151
tt0113492,151
tt0113492,102
tt0113492,150
tt0113500,151
tt0113540,151
tt0113677,151
tt0113690,151
tt0113690,150
tt0107447,28
tt0113729,151
tt0113749,151
tt0113820,151
tt0113820,73
tt0113820,10
tt0113820,104
tt0113851,150
tt0113851,151
tt0110604,150
tt0110604,121
tt0110604,53
tt0110620,151
tt0113957,151
tt0113986,151
tt0114095,151
tt0114194,151
tt0114241,151
tt0114323,151
tt0114323,150
tt0114345,151
tt0114435,151
tt0114436,51
tt0114436,151
tt0114478,53
tt0114478,73
tt0114478,151
tt0114496,151
tt0114508,151
tt0114534,151
tt0114558,151
tt0058450,51
tt0058450,156
tt0114666,151
tt0114663,151
tt0114702,150
tt0114702,51
tt0114702,16
tt0114682,151
tt0114781,151
tt0114798,151
tt0114805,151
tt0114887,151
tt0114887,94
tt0114898,151
tt0114928,51
tt0114928,151
tt0114938,151
tt0109340,150
tt0112602,151
tt0111579,121
tt0111579,51
tt0110882,150
tt0110882,51
tt0110882,107
tt0112471,151
tt0112471,11
tt0112508,151
tt0112438,151
tt0112571,51
tt0112571,151
tt0112757,151
tt0112679,67
tt0112679,151
tt0112679,150
tt0109445,151
tt0112883,151
tt0109635,151
tt0109676,151
tt0112854,151
tt0109579,150
tt0109579,51
tt0109579,151
tt0109642,151
tt0109686,151
tt0111797,140
tt0111797,151
tt0109759,28
tt0109758,151
tt0109707,151
tt0113117,150
tt0113117,151
tt0113117,51
tt0113097,151
tt0113028,151
tt0113198,151
tt0113198,10
tt0113198,51
tt0113198,28
tt0113198,134
tt0113303,151
tt0113303,28
tt0113089,151
tt0109771,51
tt0109771,70
tt0109771,16
tt0109771,150
tt0113199,151
tt0113234,151
tt0109906,51
tt0109906,151
tt0110057,151
tt0110005,104
tt0110005,53
tt0110066,151
tt0110116,150
tt0110116,151
tt0110006,151
tt0113360,151
tt0110099,151
tt0110148,151
tt0113463,151
tt0113463,51
tt0110189,151
tt0110216,151
tt0113501,151
tt0113538,150
tt0113538,61
tt0113538,151
tt0113552,151
tt0076759,151
tt0110367,151
tt0113670,151
tt0110296,150
tt0109731,51
tt0103994,94
tt0110322,151
tt0110443,151
tt0110365,151
tt0107566,151
tt0107566,150
