show_id,person_id
tt0337898,nm1532712
tt0337898,nm1533334
tt1866426,nm1260407
tt0417349,nm0309121
tt0417349,nm0919652
tt1831575,nm0571032
tt0078683,nm0370426
tt0078683,nm0460632
tt0078683,nm0764588
tt2085059,nm0111765
tt2085059,nm2782297
tt2085059,nm1104036
tt2085059,nm0403294
tt2085059,nm0606439
tt2085059,nm0429069
tt2085059,nm1321658
tt2085059,nm0422710
tt2085059,nm9946590
tt0286285,nm1099265
tt0286285,nm0416583
tt0286285,nm0058843
tt0286285,nm0647431
tt0490048,nm0354307
tt0490048,nm0647431
tt0490048,nm16748092
tt0107228,nm0024930
tt0107228,nm0023859
tt0107228,nm3959303
tt0086667,nm0686786
tt0086667,nm0873432
tt0996994,nm0911552
tt0118489,nm0911552
tt1820723,nm0362010
tt1820723,nm0829044
tt0497298,nm0595590
tt0442632,nm0203577
tt0442632,nm0002042
tt0106104,nm0478852
tt0811026,nm0213234
tt0365651,nm0077654
tt0368520,nm0014556
tt0368520,nm0990972
tt0069684,nm0744023
tt0069684,nm3589520
tt0069684,nm0532608
tt0069684,nm0547089
tt0069684,nm0768687
tt1192431,nm0067747
tt1192431,nm2937780
tt1192431,nm0901663
tt0929753,nm2486060
tt0929753,nm0464810
tt2262308,nm2634956
tt2262308,nm1054609
tt0297994,nm0605799
tt0297994,nm2035669
tt0297994,nm0475853
tt0297994,nm0586364
tt0297994,nm2502597
tt0066674,nm0337896
tt0066674,nm0362762
tt0221300,nm0911552
tt0230534,nm0213939
tt0230534,nm0401076
tt0089018,nm0749914
tt0089018,nm0098439
tt0089018,nm0684265
tt1842793,nm0041003
tt2070768,nm4695054
tt2070768,nm0638534
tt2092588,nm2153280
tt2092588,nm0041003
tt0427531,nm0880870
tt0427531,nm1638668
tt0388644,nm0994355
tt0388644,nm10025711
tt0118248,nm0625198
tt0118248,nm0894523
tt0321897,nm0203577
tt0321897,nm0253652
tt0220924,nm0122849
tt0220924,nm0761584
tt0077159,nm0210701
tt0077159,nm0144876
tt1985443,nm0449222
tt1985443,nm1949279
tt1985443,nm0662591
tt0238064,nm0254945
tt0119348,nm0585319
tt0119348,nm0910319
tt0167565,nm0213939
tt0167565,nm0241416
tt0061253,nm1522821
tt0061253,nm4467434
tt0061253,nm0303335
tt0061253,nm0828183
tt0061253,nm0863481
tt0061253,nm0933318
tt0077025,nm0337867
tt0384013,nm0185309
tt0384013,nm1480060
tt1926910,nm1798854
tt0432232,nm0193231
tt2510620,nm3747420
tt2262456,nm0264236
tt2262456,nm3734458
tt2262456,nm4824763
tt2262456,nm0549265
tt2262456,nm0621602
tt2262456,nm5600390
tt2262456,nm0000636
tt0108956,nm0725766
tt0158591,nm0556325
tt0158591,nm0794385
tt0158591,nm2181830
tt0158591,nm0477768
tt1285482,nm0111765
tt0401019,nm0539900
tt2707792,nm0061337
tt2707792,nm0723468
tt0086723,nm0037546
tt0086723,nm0120273
tt1450364,nm1158241
tt1450364,nm0050975
tt1450364,nm0341219
tt1450364,nm0396932
tt1450364,nm2562040
tt1450364,nm0622257
tt0362192,nm0008036
tt1081731,nm1234160
tt1081731,nm0033520
tt1081731,nm1215923
tt1081731,nm0301788
tt1081731,nm0361828
tt1081731,nm0670808
tt0082461,nm0072510
tt0082461,nm0089560
tt0082461,nm0276102
tt3218680,nm3029810
tt3218680,nm2456688
tt3218680,nm0846969
tt0898266,nm3154374
tt0898266,nm0521143
tt0898266,nm0695080
tt0898266,nm0596429
tt0898266,nm2257577
tt0898266,nm1479331
tt0898266,nm0438235
tt0898266,nm1931044
tt0898266,nm3388740
tt0898266,nm2044831
tt0898266,nm1945862
tt0898266,nm0324477
tt0898266,nm1148625
tt0898266,nm0036950
tt0898266,nm0742711
