show_id,person_id
tt0374463,nm0887700
tt0374463,nm0638354
tt0374463,nm0002083
tt0374463,nm0864789
tt0374463,nm0003662
tt3053694,nm0241622
tt2044056,nm0184108
tt0317875,nm0196797
tt0115288,nm0401982
tt0420408,nm0002726
tt1422182,nm0427580
tt1422182,nm2569672
tt1422182,nm1507245
tt0427042,nm0284308
tt0847150,nm1019500
tt1855924,nm1025289
tt1855924,nm2341575
tt0081443,nm0373612
tt0115387,nm0054954
tt2109059,nm0414025
tt1489097,nm1184986
tt1489097,nm1531832
