show_id,country_id
tt0092571,151
tt0092571,150
tt1329539,150
tt0884762,150
tt0081846,151
tt0081846,150
tt1438437,151
tt1438437,28
tt0115109,151
tt0115109,10
tt1587373,151
tt0172202,150
tt1453159,53
tt1453159,28
tt1453159,150
tt1453159,61
tt1321865,51
tt1321865,53
tt0465326,150
tt0465326,151
tt1366312,150
tt0078588,150
tt0199208,150
tt0199208,151
tt0199208,70
tt0199208,51
tt0199208,50
tt1492030,151
tt0780362,150
tt0780362,151
tt0112041,151
tt0783328,151
tt0115238,151
tt1236371,117
tt1236371,51
tt0979263,150
tt0222581,50
tt1718776,53
tt1759871,50
tt0231626,151
tt0231627,151
tt1226036,151
tt0207907,150
tt0482857,151
tt0482857,28
tt1955162,150
tt0098769,151
tt1212452,151
tt0417349,150
tt1831575,150
tt0078683,151
tt0286285,150
tt0286285,151
tt0286285,73
tt0490048,150
tt0107228,73
tt0086667,150
tt0996994,151
tt0118489,151
tt1820723,67
tt1820723,150
tt0497298,150
tt0442632,150
tt0442632,151
tt0106104,150
tt0811026,150
tt0811026,151
tt0365651,150
tt0368520,73
tt0069684,70
tt1192431,121
tt0929753,73
tt2262308,151
tt0297994,73
tt0066674,150
tt0221300,150
tt0221300,151
tt0230534,51
tt0230534,70
tt0230534,134
tt0230534,53
tt0230534,151
tt0089018,117
tt0089018,51
tt1806234,150
tt1842793,150
tt2070768,137
tt2070768,42
tt2092588,150
tt2092588,151
tt2092588,134
tt2092588,53
tt2092588,55
tt2092588,28
tt0427531,73
tt0118248,151
tt0118248,10
tt0321897,150
tt0321897,151
tt0220924,151
tt0077159,117
tt1985443,151
tt0238064,151
tt0119348,150
tt0167565,51
tt0167565,70
tt0167565,53
tt0077025,151
tt0384013,150
tt1926910,150
tt0432232,150
tt2060305,150
tt2973064,150
tt2083695,150
tt2510620,150
tt1647292,150
tt0108956,151
tt0158591,73
tt1285482,150
tt0401019,150
tt2707792,151
tt0086723,133
tt0362192,150
tt1081731,134
tt0082461,151
tt0082461,150
tt3218680,73
tt0995832,151
tt0995832,150
tt0219430,137
tt0219430,42
tt0219430,108
tt0117547,53
tt0117547,70
tt0117547,151
tt0433722,73
tt1738340,150
tt1219817,150
tt3087752,151
tt3087752,51
tt3087752,28
tt1720619,150
tt2649522,150
tt0098492,73
tt0856824,73
tt0364146,151
tt0284741,102
tt0284741,70
tt0284741,53
tt0284741,151
tt0076993,151
tt0074621,151
tt0090522,151
tt0346223,150
tt0397501,151
tt0397501,53
tt0397501,131
tt0468988,53
tt0468988,28
tt0468988,151
tt1883092,53
tt0446610,150
tt0446610,151
tt2194326,151
tt3012698,151
tt1238834,150
tt0403778,150
tt3069212,150
tt2357472,151
tt0095388,150
tt0095388,151
tt0115392,28
tt0115392,151
tt3696720,28
tt3696720,151
tt0349747,150
tt0349747,151
tt1567215,28
tt1567215,151
tt0090490,151
tt3132738,151
tt3132738,28
tt0085106,151
tt0088583,151
tt0086823,151
tt0205214,150
tt0205214,151
tt0205214,53
tt0210294,151
tt0210294,53
tt0210294,28
tt0168355,53
tt0168355,151
tt1127205,150
tt0078672,150
tt0078672,10
tt0463826,151
tt0463826,28
tt0118453,151
tt0222608,150
tt0100361,151
tt0100361,51
tt0100361,70
tt0100361,53
tt0289830,151
tt0088611,151
tt0116619,151
tt0116619,28
tt1307789,150
tt0425674,10
tt0934320,10
tt0374463,151
tt0374463,10
tt3053694,51
tt2044056,150
tt0317875,150
tt0317875,51
tt0317875,28
tt0115288,150
tt0420408,151
tt1422182,150
tt0427042,150
tt0847150,150
tt1855924,151
tt0081443,151
tt0115387,150
tt2109059,151
tt1489097,151
