show_id,person_id,character_name,role
tt0075520,nm0000059,Nicodemus,actor
tt0075520,nm0000051,Joseph of Arimathea,actor
tt0075520,nm0000843,Mary Magdalene,actress
tt0075520,nm0000308,The Centurion,actor
tt0075520,nm0001012,The Adulteress,actress
tt0075520,nm0181305,Herodias,actress
tt0075520,nm0267232,Simon Peter,actor
tt0075520,nm0000469,Balthazar,actor
tt0081874,nm0429254,Arthur Dent,actor
tt0081874,nm0228797,Ford Prefect,actor
tt0081874,nm0429012,The Book,actor
tt0081874,nm0225549,Trillian,actress
tt0081874,nm0934983,Zaphod Beeblebrox,actor
tt0081874,nm0601891,Marvin,actor
tt0081874,nm0495231,Marvin,actor
tt0081874,nm0851123,Eddie,actor
tt0081874,nm0072578,Vogon Captain,actor
tt0081874,nm0894710,Slartibartfast,actor
tt0083387,nm0005078,Jonas Steele,actor
tt0083387,nm0358713,John Geyser,actor
tt0083387,nm0240564,Mary Hale,actress
tt0083387,nm0303981,Jacob Hale Sr.,actor
tt0083387,nm0363842,James Hale,actor
tt0083387,nm0364918,Preacher,actor
tt0083387,nm0001344,Lester Bedell,actor
tt0083387,nm0399590,Matthew Geyser,actor
tt0083387,nm0429995,Professor Lowe,actor
tt0083387,nm0450116,Malachy Hale,actor
tt0083480,nm0000027,George Smiley,actor
tt0083480,nm0040586,Madame Ostrakova,actress
tt0083480,nm0665473,Lauder Strickland,actor
tt0083480,nm0792996,Otto Leipzig,actor
tt0083480,nm0102991,Ferguson,actor
tt0083480,nm0378404,Toby Esterhase,actor
tt0083480,nm0126250,Peter Guillam,actor
tt0083480,nm0060766,Oliver Lacon,actor
tt0083480,nm0797860,Alexandra Ostrakova,actress
tt0083480,nm0216610,Madame La Pierre,actress
tt0088727,nm0001227,Anne Shirley,actress
tt0088727,nm0223157,Marilla Cuthbert,actress
tt0088727,nm0002070,Matthew Cuthbert,actor
tt0088727,nm0358093,Rachel Lynde,actress
tt0088727,nm0510032,Miss Muriel Stacy,actress
tt0088727,nm0335643,Diana Barry,actress
tt0088727,nm0188592,Gilbert Blythe,actor
tt0088727,nm0454569,Aunt Josephine,actress
tt0088727,nm0123201,Mrs. Amelia Evans,actress
tt0088727,nm0705374,Mrs. Elizabeth Barry,actress
tt0092337,nm0054007,Young Man,actor
tt0092337,nm0525557,Andrzej Geller,actor
tt0092337,nm0523821,Tomek,actor
tt0092337,nm0054270,Consultant,actor
tt0092337,nm0417370,Dorota Geller,actress
tt0092337,nm0532536,Roman,actor
tt0092337,nm0856227,Taxi Driver,actor
tt0092337,nm0310702,Postman,actor
tt0092337,nm0475009,Gynecologist,actor
tt0092337,nm0686133,Ania,actress
tt0094791,nm0000328,Jason Bourne,actor
tt0094791,nm0000646,Marie St. Jacques,actress
tt0094791,nm0703033,Gen. François Villiers,actor
tt0094791,nm0595567,David Abbott,actor
tt0094791,nm0903901,Carlos,actor
tt0094791,nm0891092,Fritz Koenig,actor
tt0094791,nm0001186,Dr. Geoffrey Washburn,actor
tt0094791,nm0352138,The Fat Man,actor
tt0094791,nm0434759,Gold Glasses,actor
tt0094791,nm0535053,D'Armacourt,actor
tt0096639,nm0000380,Augustus 'Gus' McCrae,actor
tt0096639,nm0000169,Woodrow F. Call,actor
tt0096639,nm0000418,Joshua Deets,actor
tt0096639,nm0000178,Lorena Wood,actress
tt0096639,nm0001810,Jake Spoon,actor
tt0096639,nm0002078,Blue Duck,actor
tt0096639,nm0000665,Dish Boggett,actor
tt0096639,nm0005401,Newt Dobbs,actor
tt0096639,nm0001378,Clara Allen,actress
tt0096639,nm0177933,July Johnson,actor
tt0098898,nm0000545,DCI Jane Tennison,actress
tt0098898,nm0071007,DSU Michael Kernan,actor
tt0098898,nm0068552,DS Bill Otley,actor
tt0098898,nm0265492,DI Frank Burkin,actor
tt0098898,nm0254879,DI Tony Muddyman,actor
tt0098898,nm0809417,WPC Maureen Havers,actress
tt0098898,nm0280416,DC Jones,actor
tt0098898,nm0862907,DC Rosper,actor
tt0098898,nm0100764,George Marlow,actor
tt0098898,nm0942712,DC Lillie,actor
tt0099864,nm0001796,Bill Denbrough,actor
tt0099864,nm0005347,Mike Hanlon,actor
tt0099864,nm0001578,Beverly Marsh,actress
tt0099864,nm0026789,Richie Tozier,actor
tt0099864,nm0160550,Eddie Kaspbrak,actor
tt0099864,nm0557956,Stanley Uris,actor
tt0099864,nm0000615,Ben Hanscom,actor
tt0099864,nm0000347,Pennywise,actor
tt0099864,nm0000970,Bill Denbrough - Age 12,actor
tt0099864,nm0186315,Ben Hanscom - Age 12,actor
tt0103516,nm0000545,DCI Jane Tennison,actress
tt0103516,nm0758760,DS Robert Oswalde,actor
tt0103516,nm0071007,DSU Michael Kernan,actor
tt0103516,nm0254879,DI Tony Muddyman,actor
tt0103516,nm0265492,DI Frank Burkin,actor
tt0103516,nm0370343,DS Richard Haskons,actor
tt0103516,nm0942712,DC Lillie,actor
tt0103516,nm0280416,DC Jones,actor
tt0103516,nm0862907,DC Rosper,actor
tt0103516,nm0570247,Sgt Calder,actor
tt0106112,nm0000685,Captain Woodrow F. Call,actor
tt0106112,nm0001347,Clara Allen,actress
tt0106112,nm0005401,Newt Dobbs,actor
tt0106112,nm0676973,Captain Gideon Walker,actor
tt0106112,nm0001657,Gregor Dunnigan,actor
tt0106112,nm0371660,Jack Jackson,actor
